tracking_timestamp_us,yaw_rads_cpf,pitch_rads_cpf,depth_m,yaw_low_rads_cpf,pitch_low_rads_cpf,yaw_high_rads_cpf,pitch_high_rads_cpf
158802622,-0.06200815,-0.7378052,,-0.092374735,-0.7821672,-0.026924565,-0.6301531
158902622,-0.10888544,-0.7336097,,-0.13915059,-0.7735904,-0.07819095,-0.6183708
159002622,-0.10664656,-0.65825677,,-0.16195801,-0.7103059,-0.07245613,-0.46188772
159102622,-0.055879124,-0.6213108,,-0.12338668,-0.6704038,-0.028574407,-0.3996781
159202622,-0.015362803,-0.4826782,,-0.057880394,-0.525255,0.009912388,-0.33833876
159302622,-0.008364979,-0.3389245,,-0.043221936,-0.39112955,0.027960025,-0.1833039
159402622,-0.0069105644,-0.26629016,,-0.053663053,-0.32851195,0.052590407,-0.143352
159502622,-0.013459677,-0.2851736,,-0.030294096,-0.3064528,0.0020341352,-0.2495731
159602622,0.0007854095,-0.2963563,,-0.016764965,-0.3223253,0.021033462,-0.24715424
159702622,0.011141871,-0.30529457,,-0.026821544,-0.3647507,0.07154125,-0.17845084
159802622,0.025896285,-0.2719186,,-0.016096301,-0.3440848,0.0896427,-0.09570464
159902622,0.03844163,-0.31800738,,0.0019636708,-0.37089494,0.08419405,-0.18395069
160002622,0.0394534,-0.31692174,,-0.00082992576,-0.3665191,0.07193476,-0.16026399
160102622,0.032460928,-0.29914907,,-0.0103882365,-0.36258268,0.09033463,-0.13708913
160202622,0.023834974,-0.26536998,,-0.023054292,-0.3435831,0.09633271,-0.07267657
160302622,0.020852655,-0.26545435,,-0.014596308,-0.32553878,0.073731385,-0.119943194
160402622,0.025598358,-0.25051847,,-0.014543263,-0.32017425,0.085773736,-0.082709044
160502622,0.032439493,-0.26466164,,-0.0012904769,-0.3238666,0.078704,-0.12065623
160602622,0.0269025,-0.26491502,,-0.013708234,-0.32611042,0.071533814,-0.09291252
160702622,0.031188315,-0.25595543,,-0.0026267283,-0.31152976,0.068685785,-0.10997851
